Quantifi Trade Id,TradeTag_ECD Id,ProductDescription,Size,CurrentNotional,ReferenceEntityName,Today_Pv,Yesterday_Pv,Today_TR_MAT_DELTA,Today_TR_MAT_HDGE_DELTA,Today_TR_MAT_HDGE_NOTNL,Yesterday_TR_MAT_DELTA,Yesterday_TR_MAT_HDGE_DELTA,Yesterday_TR_MAT_HDGE_NOTNL,Today_JTD,Yesterday_JTD,Today_Total_SpreadDelta,Yesterday_Total_SpreadDelta,Today_CDS Spread Quote 5Y,Yesterday_CDS Spread Quote 5Y
CDS0001022,1584,MBIA CDS,24500000,24500000,MBIA INS CORP,-7942839.421,-7974237.777,-653.1299129,-176.4392513,3701726.843,-622.6613597,-173.1739297,3595583.705,-1367067.275,-1335663.751,-653.1302734,-622.6617155,44037.58207,44998.61484
CDS0001023,1584,MBIA CDS,-24500000,-24500000,MBIA INS CORP,7942839.421,7974237.777,653.1299129,-176.4392513,-3701726.843,622.6613597,-173.1739297,-3595583.705,1367067.275,1335663.751,653.1302734,622.6617155,44037.58207,44998.61484
CDO0000646,2591,Athilon 4,-1600000000,-1600000000,*,3952754.769,4096767.506,151886.5566,-31034.09716,-588659294.5,152834.6903,-31117.0447,-590491775.8,52696081.99,54617017.53,151886.298,152833.6498,206215.1687,210503.4087
CDO0000649,3254,Athilon 6,-1600000000,-1600000000,*,10920169.55,11567028.67,268051.5957,-32860.84859,-880124711.5,273997.1328,-32909.16826,-897727855.7,109608630.9,115447487.1,268052.1971,273997.7904,162474.3748,166939.3283
CDO0000651,3930,Athilon 7,-1600000000,-1600000000,*,29341336.31,31491313.71,416226.9608,-33967.53015,-1281319683,425357.2006,-33981.76487,-1308342025,226635235.5,240649290,416228.2656,425357.8908,199762.126,205391.3687
CDO0000652,8117,Athilon 7 offset,1600000000,1600000000,*,-28235122.92,-30386908.62,-416419.627,-33967.53015,1281912006,-425555.0821,-33981.76487,1308949804,-226733537.1,-240754447.2,-416420.9314,-425555.772,199762.126,205391.3687
CDO0000653,3450,CDX6 7-10 7y ECD3450,-20000000.02,-20000000.02,*,4273336.76,4441488.899,25623.11031,-64653.17227,-48160447.57,25061.71202,-64503.60107,-47265280.74,39453019.48,39641981.92,25623.29476,25061.89719,226776.4713,233307.7525
CDO0000654,3449,CDX6 7-10 7y ECD3449,20000000.02,20000000.02,*,-1442127.012,-1564985.689,-19130.3114,-33982.67971,67810215.41,-19681.04949,-34041.6156,69638503.21,-24870268.52,-26422593.77,-19130.463,-19681.1966,158743.5299,163315.4267
CDO0000655,3453,CDX6 7-10 7y ECD3453,20000000.02,20000000.02,*,-4258051.347,-4426416.754,-25653.50177,-64653.17227,48217218.31,-25092.05188,-64503.60107,47322120.68,-39495060.25,-39685393.77,-25653.6864,-25092.23722,226776.4713,233307.7525
CDO0000656,8112,CDX6 7-10 7y ECD8112,-20000000.02,-20000000.02,*,1445689.631,1568528.283,19127.12313,-33982.67971,-67798932.3,19677.72785,-34041.6156,-69626770.93,24866570.57,26418587.03,19127.27471,19677.87493,158743.5299,163315.4267
CDO0000657,3815,GNT LSS 1 - CDX7 30-60,-9648460487,-9648460487,*,91129494.93,94377739.5,1898377.847,-69428.70294,-3195019589,1918795.176,-69222.04566,-3232935537,216024752.5,223320140.7,1898332.882,1918752.717,211649.6466,218408.2572
CDO0000658,3816,GNT LSS 1 - GS,9648460487,9648460487,*,-85200685.96,-88469182.28,-1899242.309,-69428.70294,3196473932,-1919672.596,-69222.04566,3234413179,-216115494.1,-223414445.1,-1899197.306,-1919630.104,211649.6466,218408.2572
CDO0000659,2743,Nereus 2 BNP,4400000000,4400000000,*,-2366379.959,-2412184.327,-195606.9165,-39787.64666,757350440.5,-192463.7641,-39881.99663,742957797.7,-42756756.38,-44156786.91,-195602.0531,-192458.9235,241224.7868,246884.9356
CDO0000660,8271,Nereus 2 Mav1,-2717152738,-2717152738,*,1841150.501,1870206.278,120356.9274,-39785.94403,-465992136.9,118475.1072,-39880.23527,-457337946.5,26470094.36,27342835.6,120353.8327,118472.1142,241824.905,247548.9917
CDO0000661,2602,Nereus Dresdner,788027352,788027352,*,-119730.5042,-128117.8417,-35040.75991,-39787.64666,135670731.2,-34477.64229,-39881.99663,133092228.6,-7659292.294,-7910081.154,-35039.88867,-34476.77513,241224.7868,246884.9356
CDO0000662,8269,Nereus Mav1,-2479114613,-2479114613,*,1064877.907,1091760.387,109829.3452,-39785.94403,-425231936.9,108112.0119,-39880.23527,-417334272.9,24154570.15,24950951.13,109826.5213,108109.2806,241824.905,247548.9917
CDO0000671,4272,CDX7 0-3 10y Zero ECD4272,-1114285.724,-312000.0083,*,-1450.053992,6406.189595,513.2528173,-69428.70294,-964630.817,466.8621855,-69222.04566,-885597.0047,10566009.48,10027136.26,513.2567207,466.865435,211649.6466,218408.2572
CDO0000672,4273,CDX7 0-3 10y Zero ECD4273,-1485714.3,-416000.0114,*,-1933.405325,8541.586135,684.3370903,-69428.70294,-1286174.424,622.4829146,-69222.04566,-1180796.007,14088012.66,13369515.02,684.3422949,622.4872473,211649.6466,218408.2572
CDO0000673,4280,CDX7 0-3 10y Zero ECD4280,-600000,-168000.003,*,-780.7982968,3449.486675,276.3668992,-69428.70294,-519416.5892,251.3873285,-69222.04566,-476859.9214,5689389.672,5399227.169,276.3690011,251.3890782,211649.6466,218408.2572
CDO0000674,8268,CDX7 0-3 10y Zero ECD8268,3200000.024,896000.0227,*,4164.257614,-18397.26241,-1473.956807,-69428.70294,2770221.83,-1340.732429,-69222.04566,2543252.933,-30343411.81,-28795878.45,-1473.968017,-1340.741761,211649.6466,218408.2572
CDX0000726,2623,Dow Jones CDX.NA.IG.5-V5 (for CIBC) 5Y,70000000,67480000,*,-71136.65172,-84481.29399,-1293.443357,-4686.002157,33672772.48,-1329.700536,-4818.74624,33662952.84,-20323858.95,-20310502.99,-1293.443357,-1329.700536,119502.751,122867.6587
CDX0000727,8111,Dow Jones CDX.NA.IG.5-V5 (for CIBC) 5Y,-70000000,-67480000,*,71136.65172,84481.29399,1293.443357,-4686.002157,-33672772.48,1329.700536,-4818.74624,-33662952.84,20323858.95,20310502.99,1293.443357,1329.700536,119502.751,122867.6587
